2021-07-31,73.1388
2021-08-03,73.0156
2021-08-04,72.8724
2021-08-05,72.7857
2021-08-06,73.168
2021-08-07,73.1304
2021-08-10,73.5078
2021-08-11,73.5962
2021-08-12,73.9695
2021-08-13,73.5671
2021-08-14,73.4721
2021-08-17,73.392
2021-08-18,73.4753
2021-08-19,73.4633
2021-08-20,74.1503
2021-08-21,74.364
2021-08-24,74.0666
2021-08-25,73.9465
2021-08-26,73.7428
2021-08-27,73.9908
2021-08-28,73.9866
2021-08-31,73.5744
2021-09-01,73.2781
2021-09-02,73.1912
2021-09-03,72.8491
2021-09-04,72.8545
2021-09-07,72.9538
2021-09-08,73.1909
2021-09-09,73.4421
2021-09-10,73.129
2021-09-11,72.76
2021-09-14,73.0841
2021-09-15,72.7171
2021-09-16,72.852
2021-09-17,72.4329
2021-09-18,72.5602
2021-09-21,73.3315
2021-09-22,73.2067
2021-09-23,72.8806
2021-09-24,72.7245
2021-09-25,73.0081
2021-09-28,72.6613
2021-09-29,72.5083
2021-09-30,72.7608
2021-10-01,72.6642
2021-10-02,72.9215
2021-10-05,72.9239
2021-10-06,72.5686
2021-10-07,72.5682
2021-10-08,72.2854
2021-10-09,71.9882
2021-10-12,71.6373
2021-10-13,71.8801
2021-10-14,71.8577
2021-10-15,71.7846
2021-10-16,71.2371
2021-10-19,71.1714
2021-10-20,70.9674
2021-10-21,71.0555
2021-10-22,70.9904
2021-10-23,70.8623
2021-10-26,70.1345
2021-10-27,69.5526
2021-10-28,69.8104
2021-10-29,70.5207
2021-10-30,70.52
2021-11-02,71.0863
2021-11-03,71.4783
2021-11-04,71.4876
2021-11-09,71.3975
2021-11-10,71.2866
2021-11-11,70.695
2021-11-12,71.1964
2021-11-13,71.8118
2021-11-16,72.2724
2021-11-17,72.5553
2021-11-18,72.8228
2021-11-19,72.6022
2021-11-20,72.7617
2021-11-23,73.4506
2021-11-24,74.8327
2021-11-25,74.3726
2021-11-26,74.6004
2021-11-27,75.5873
2021-11-30,74.9818
2021-12-01,74.8926
2021-12-02,73.9746
2021-12-03,74.0637
2021-12-04,73.7426
2021-12-07,73.6694
2021-12-08,74.1399
2021-12-09,73.8453
2021-12-10,73.5998
2021-12-11,73.6059
2021-12-14,73.4107
2021-12-15,73.4698
2021-12-16,73.851
2021-12-17,73.5708
2021-12-18,73.733
2021-12-21,74.2947
2021-12-22,73.8206
2021-12-23,73.7901
2021-12-24,73.3583
2021-12-25,73.1886
2021-12-28,73.2329
2021-12-29,73.4959
2021-12-30,73.6514
2021-12-31,74.2926
